Plant Category,Seed Name,Average Temperature (2 m),Average Precipitation per day,Average Soil Temperature (0 to 6 cm),Average Soil Moisture (0-3 cm),Average Evapotranspiration,Average Sunshine Duration,Humidity(%),Soil Type,Best Growing Areas,Season,Wind Threshold(km/h),Heat Wave Maximum Temprature (°C),Rainfall Alert Maximum Rain (mm),Watering (hours interval),List of Fertilization,Time Period for Fertilization (weeks interval),Maximum Height of Plant (inches),maximum area this plant require(inches),soil depth for sowing(inches),Plant name
Vegetable,Foderbeta,20,5,18,0.25,3,3600,50,"[""loam"",""sandy loam"",""clay loam""]","[""Mediterranean region"",""Central Europe"",""North America""]","[""Late spring"",""Summer"",""Early fall""]",40,35,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,24,12,1,foderbeta
Flowering plant,Franskt kungsljus,20,5,18,0.4,3,18000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Late spring"",""Summer"",""Early fall""]",40,35,20,48,"[""NPK fertilizer"",""Organic compost""]",4,36,12,0.5,franskt kungsljus
Vegetable,Frilandsgurka,20,5,15,0.3,3,600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Scandinavia"",""Northern Europe""]","[""Spring"",""Summer""]",30,35,20,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,24,12,1,frilandsgurka
Perennial,Fyrkantig Johannesört,20,5,18,0.3,3,18000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""Scandinavia"",""Baltic region""]","[""Late spring"",""Summer""]",40,30,20,48,"[""Organic compost"",""Liquid fertilizer""]",4,24,12,0.5,fyrkantig johannesört
Annual Flower,Färgkulla,18,2,15,0.25,3,6000,60,"[""Loam"",""Sandy Loam""]","[""Northern Europe"",""North America""]","[""Spring"",""Summer""]",40,30,10,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,0.25,färgkulla
Flower,Färgväppling,18.5°C,5.7 mm,15.2°C,0.25 m³/m³,4.2 mm/day,4200 seconds,65%,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",30 km/h,35°C,20 mm,48,"[""Organic Fertilizer"",""Nitrogen-based Fertilizer""]",4,24 in,12 in,0.5 in,färgväppling
Flowering Plant,Getrams,28,10,25,0.3,5,3600,60,"[""Sandy loam"",""Clay loam"",""Loamy sand""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",40,35,50,48,"[""NPK fertilizers"",""Organic compost""]",4,24,12,2,getrams
Flowering Plant,Getväppling,20,5,15,0.3,4,3600,60,"[""Loam"",""Clay"",""Sandy""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer"",""Early Autumn""]",40,35,20,48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4,24,12,2,getväppling
Perennial,Grekvädd,10-25,5-10,15-20,0.3-0.5,4-6,5-8,50-70,"[""Sandy loam"",""Loamy soil"",""Clay soil""]","[""Northern Europe"",""Scandinavia"",""Baltic region""]","[""Spring"",""Summer"",""Autumn""]",25,30,20,24-48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer"",""Potassium-based fertilizer""]",6-8,20-30,12x12,0.5-1,grekvädd
Herbaceous,Groblad,20,5,18,0.4,3,20000,60,"[""Loam"",""Sandy Loam""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,24,12,0.5,groblad
Perennial,Gråmalva,20,5,18,0.3,2,6000,60,"[""Loam"",""Clay"",""Sandy""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",30,35,50,48,"[""Organic compost"",""Slow-release fertilizer""]",4,36,24,0.5,gråmalva
Herb,Gräslök,15,5,10,0.3,3,18000,65,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",30,30,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,24,12,0.25,gräslök
Leafy vegetable,Grönkål,10,5,15,0.3,2,18000,70,"[""Loamy"",""Sandy loam"",""Clay loam""]","[""Scandinavia"",""Northern Europe"",""North America""]","[""Spring"",""Fall""]",40,30,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,36,12,0.5,grönkål
Indoor Plant,Grönlilja,22,2,25,0.5,3,18000,60,"[""Loamy"",""Sandy""]","[""Indoor"",""Shaded areas""]","[""Year-round""]",20,30,10,48,"[""All-purpose liquid fertilizer"",""Slow-release granular fertilizer""]",4,18,12,1,grönlilja
Vegetable,Gulbeta,25,10,20,0.4,5,12000,70,"[""Sandy Loam"",""Clay Loam"",""Silt Loam""]","[""Tropical regions"",""Subtropical regions"",""Mediterranean regions""]","[""Start of Summer"",""Monsoon Season"",""Autumn""]",40,35,50,48,"[""NPK fertilizers"",""Compost"",""Organic fertilizers""]",4,24,12,1,gulbeta
Perennial Flower,Gul Fingerborgsblomma,18,3,15,0.3,4,6000,70,"[""Loam"",""Sandy Loam""]","[""Northern Europe"",""North America""]","[""Late Spring"",""Summer""]",30,35,20,48,"[""NPK 10-10-10"",""Organic Compost""]",4,24,12,0.5,gul fingerborgsblomma
Flowering plant,Gul Gentiana,18.5,5.2,15.2,0.35,3.8,3600,75,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mountainous regions"",""Alpine meadows""]","[""Late spring"",""Summer""]",40,28,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",8,12,12,0.2,gul gentiana
